NC_008751.1 Desulfovibrio vulgaris DP4, complete genome
NZ_JANA01000056.1 Fusobacterium sp. OBRC1 ctgN367L1501C33.4993, whole genome shotgun sequence
NZ_JANA01000057.1 Fusobacterium sp. OBRC1 ctgN2L110866C40.6976, whole genome shotgun sequence
NZ_JANA01000058.1 Fusobacterium sp. OBRC1 ctgN305L13128C40.0074, whole genome shotgun sequence
NZ_JANA01000059.1 Fusobacterium sp. OBRC1 ctgN368L920C47.148, whole genome shotgun sequence
NZ_JANA01000060.1 Fusobacterium sp. OBRC1 ctgN358L12858C40.1877, whole genome shotgun sequence
NZ_JANA01000061.1 Fusobacterium sp. OBRC1 ctgN317L115027C40.4644, whole genome shotgun sequence
NZ_JANA01000062.1 Fusobacterium sp. OBRC1 ctgN277L1647C37.2123, whole genome shotgun sequence
NZ_JANA01000063.1 Fusobacterium sp. OBRC1 ctgN352L7526C38.9928, whole genome shotgun sequence
NZ_JANA01000064.1 Fusobacterium sp. OBRC1 ctgN340L4171C32.8496, whole genome shotgun sequence
NZ_JANA01000065.1 Fusobacterium sp. OBRC1 ctgN327L4408C35.1518, whole genome shotgun sequence
NZ_JANA01000066.1 Fusobacterium sp. OBRC1 ctgN297L14779C40.0279, whole genome shotgun sequence
NZ_JANA01000067.1 Fusobacterium sp. OBRC1 ctgN331L32392C40.6224, whole genome shotgun sequence
NZ_JANA01000068.1 Fusobacterium sp. OBRC1 ctgN363L3473C40.5696, whole genome shotgun sequence
NZ_JANA01000069.1 Fusobacterium sp. OBRC1 ctgN295L125945C41.4318, whole genome shotgun sequence
NZ_JANA01000070.1 Fusobacterium sp. OBRC1 ctgN319L24576C40.6283, whole genome shotgun sequence
NZ_JANA01000071.1 Fusobacterium sp. OBRC1 ctgN324L50206C40.6416, whole genome shotgun sequence
NZ_JANA01000072.1 Fusobacterium sp. OBRC1 ctgN296L6331C40.9831, whole genome shotgun sequence
NZ_JANA01000073.1 Fusobacterium sp. OBRC1 ctgN276L16921C39.8885, whole genome shotgun sequence
NZ_JANA01000074.1 Fusobacterium sp. OBRC1 ctgN268L619C28.0798, whole genome shotgun sequence
NZ_JANA01000075.1 Fusobacterium sp. OBRC1 ctgN370L120013C40.9385, whole genome shotgun sequence
NZ_JANA01000076.1 Fusobacterium sp. OBRC1 ctgN171L2958C37.0785, whole genome shotgun sequence
NZ_JANA01000077.1 Fusobacterium sp. OBRC1 ctgN313L94589C41.0168, whole genome shotgun sequence
NZ_JANA01000078.1 Fusobacterium sp. OBRC1 ctgN271L22060C40.3796, whole genome shotgun sequence
NZ_JANA01000079.1 Fusobacterium sp. OBRC1 ctgN329L1123C31.3399, whole genome shotgun sequence
NZ_JANA01000080.1 Fusobacterium sp. OBRC1 ctgN325L915C32.8767, whole genome shotgun sequence
NZ_JANA01000081.1 Fusobacterium sp. OBRC1 ctgN270L95234C40.788, whole genome shotgun sequence
NZ_JANA01000082.1 Fusobacterium sp. OBRC1 ctgN315L18109C39.4739, whole genome shotgun sequence
NZ_JANA01000083.1 Fusobacterium sp. OBRC1 ctgN201L1609C38.0328, whole genome shotgun sequence
NZ_JANA01000084.1 Fusobacterium sp. OBRC1 ctgN311L199939C41.22, whole genome shotgun sequence
NZ_JANA01000085.1 Fusobacterium sp. OBRC1 ctgN314L58259C41.1807, whole genome shotgun sequence
NZ_JANA01000086.1 Fusobacterium sp. OBRC1 ctgN320L18219C40.7962, whole genome shotgun sequence
NZ_JANA01000087.1 Fusobacterium sp. OBRC1 ctgN261L24170C40.3977, whole genome shotgun sequence
NZ_CXYJ01000001.1 Escherichia coli isolate YS river water, whole genome shotgun sequence
NZ_CXYJ01000002.1 Escherichia coli isolate YS river water, whole genome shotgun sequence
NZ_CXYJ01000003.1 Escherichia coli isolate YS river water, whole genome shotgun sequence
NZ_CXYJ01000004.1 Escherichia coli isolate YS river water, whole genome shotgun sequence
NZ_CXYJ01000005.1 Escherichia coli isolate YS river water, whole genome shotgun sequence
NZ_CXYJ01000006.1 Escherichia coli isolate YS river water, whole genome shotgun sequence
NZ_CXYJ01000007.1 Escherichia coli isolate YS river water, whole genome shotgun sequence
NZ_CXYJ01000008.1 Escherichia coli isolate YS river water, whole genome shotgun sequence
NZ_CXYJ01000009.1 Escherichia coli isolate YS river water, whole genome shotgun sequence
NZ_CXYJ01000010.1 Escherichia coli isolate YS river water, whole genome shotgun sequence
NZ_CXYJ01000011.1 Escherichia coli isolate YS river water, whole genome shotgun sequence
NZ_CXYJ01000012.1 Escherichia coli isolate YS river water, whole genome shotgun sequence
NZ_CXYJ01000013.1 Escherichia coli isolate YS river water, whole genome shotgun sequence
NZ_CXYJ01000014.1 Escherichia coli isolate YS river water, whole genome shotgun sequence
NZ_CXYJ01000015.1 Escherichia coli isolate YS river water, whole genome shotgun sequence
NZ_CXYJ01000016.1 Escherichia coli isolate YS river water, whole genome shotgun sequence
NZ_CXYJ01000017.1 Escherichia coli isolate YS river water, whole genome shotgun sequence
NZ_CXYJ01000018.1 Escherichia coli isolate YS river water, whole genome shotgun sequence
NZ_CXYJ01000019.1 Escherichia coli isolate YS river water, whole genome shotgun sequence
NZ_CXYJ01000020.1 Escherichia coli isolate YS river water, whole genome shotgun sequence
NZ_CXYJ01000021.1 Escherichia coli isolate YS river water, whole genome shotgun sequence
NZ_CXYJ01000022.1 Escherichia coli isolate YS river water, whole genome shotgun sequence
NZ_CXYJ01000023.1 Escherichia coli isolate YS river water, whole genome shotgun sequence
NZ_CXYJ01000024.1 Escherichia coli isolate YS river water, whole genome shotgun sequence
NZ_CXYJ01000025.1 Escherichia coli isolate YS river water, whole genome shotgun sequence
NZ_CXYJ01000026.1 Escherichia coli isolate YS river water, whole genome shotgun sequence
NZ_CXYJ01000027.1 Escherichia coli isolate YS river water, whole genome shotgun sequence
NZ_CXYJ01000028.1 Escherichia coli isolate YS river water, whole genome shotgun sequence
NZ_CXYJ01000029.1 Escherichia coli isolate YS river water, whole genome shotgun sequence
NZ_CXYJ01000030.1 Escherichia coli isolate YS river water, whole genome shotgun sequence
NZ_CXYJ01000031.1 Escherichia coli isolate YS river water, whole genome shotgun sequence
NZ_CXYJ01000032.1 Escherichia coli isolate YS river water, whole genome shotgun sequence
NZ_CXYJ01000033.1 Escherichia coli isolate YS river water, whole genome shotgun sequence
NZ_CXYJ01000034.1 Escherichia coli isolate YS river water, whole genome shotgun sequence
NZ_CXYJ01000035.1 Escherichia coli isolate YS river water, whole genome shotgun sequence
NZ_CXYJ01000036.1 Escherichia coli isolate YS river water, whole genome shotgun sequence
NZ_CXYJ01000037.1 Escherichia coli isolate YS river water, whole genome shotgun sequence
NZ_CXYJ01000038.1 Escherichia coli isolate YS river water, whole genome shotgun sequence
NZ_CXYJ01000039.1 Escherichia coli isolate YS river water, whole genome shotgun sequence
NZ_CXYJ01000040.1 Escherichia coli isolate YS river water, whole genome shotgun sequence
NZ_CXYJ01000041.1 Escherichia coli isolate YS river water, whole genome shotgun sequence
NZ_CXYJ01000042.1 Escherichia coli isolate YS river water, whole genome shotgun sequence
NZ_CXYJ01000043.1 Escherichia coli isolate YS river water, whole genome shotgun sequence
NZ_CXYJ01000044.1 Escherichia coli isolate YS river water, whole genome shotgun sequence
NZ_CXYJ01000045.1 Escherichia coli isolate YS river water, whole genome shotgun sequence
NZ_CXYJ01000046.1 Escherichia coli isolate YS river water, whole genome shotgun sequence
NZ_CXYJ01000047.1 Escherichia coli isolate YS river water, whole genome shotgun sequence
NZ_CXYJ01000048.1 Escherichia coli isolate YS river water, whole genome shotgun sequence
NZ_CXYJ01000049.1 Escherichia coli isolate YS river water, whole genome shotgun sequence
NZ_CXYJ01000050.1 Escherichia coli isolate YS river water, whole genome shotgun sequence
NZ_CXYJ01000051.1 Escherichia coli isolate YS river water, whole genome shotgun sequence
NZ_CXYJ01000052.1 Escherichia coli isolate YS river water, whole genome shotgun sequence
NZ_CXYJ01000053.1 Escherichia coli isolate YS river water, whole genome shotgun sequence
NZ_CXYJ01000054.1 Escherichia coli isolate YS river water, whole genome shotgun sequence
NZ_CXYJ01000055.1 Escherichia coli isolate YS river water, whole genome shotgun sequence
NZ_CXYJ01000056.1 Escherichia coli isolate YS river water, whole genome shotgun sequence
NZ_CXYJ01000057.1 Escherichia coli isolate YS river water, whole genome shotgun sequence
NZ_CXYJ01000058.1 Escherichia coli isolate YS river water, whole genome shotgun sequence
NZ_CXYJ01000059.1 Escherichia coli isolate YS river water, whole genome shotgun sequence
NZ_CXYJ01000060.1 Escherichia coli isolate YS river water, whole genome shotgun sequence
NZ_CXYJ01000061.1 Escherichia coli isolate YS river water, whole genome shotgun sequence
NZ_CXYJ01000062.1 Escherichia coli isolate YS river water, whole genome shotgun sequence
NZ_CXYJ01000063.1 Escherichia coli isolate YS river water, whole genome shotgun sequence
NZ_CXYJ01000064.1 Escherichia coli isolate YS river water, whole genome shotgun sequence
NZ_CXYJ01000065.1 Escherichia coli isolate YS river water, whole genome shotgun sequence
NZ_CXYJ01000066.1 Escherichia coli isolate YS river water, whole genome shotgun sequence
NZ_CXYJ01000067.1 Escherichia coli isolate YS river water, whole genome shotgun sequence
NZ_CXYJ01000068.1 Escherichia coli isolate YS river water, whole genome shotgun sequence
NZ_CXYJ01000069.1 Escherichia coli isolate YS river water, whole genome shotgun sequence
NZ_CXYJ01000070.1 Escherichia coli isolate YS river water, whole genome shotgun sequence
NZ_CXYJ01000071.1 Escherichia coli isolate YS river water, whole genome shotgun sequence
NZ_CXYJ01000072.1 Escherichia coli isolate YS river water, whole genome shotgun sequence
NZ_CXYJ01000073.1 Escherichia coli isolate YS river water, whole genome shotgun sequence
NZ_CXYJ01000074.1 Escherichia coli isolate YS river water, whole genome shotgun sequence
NZ_CXYJ01000075.1 Escherichia coli isolate YS river water, whole genome shotgun sequence
NZ_CXYJ01000076.1 Escherichia coli isolate YS river water, whole genome shotgun sequence
NZ_CXYJ01000077.1 Escherichia coli isolate YS river water, whole genome shotgun sequence
NZ_CXYJ01000078.1 Escherichia coli isolate YS river water, whole genome shotgun sequence
NZ_CXYJ01000079.1 Escherichia coli isolate YS river water, whole genome shotgun sequence
NZ_CXYJ01000080.1 Escherichia coli isolate YS river water, whole genome shotgun sequence
NZ_CXYJ01000081.1 Escherichia coli isolate YS river water, whole genome shotgun sequence
NZ_CXYJ01000082.1 Escherichia coli isolate YS river water, whole genome shotgun sequence
NZ_CXYJ01000083.1 Escherichia coli isolate YS river water, whole genome shotgun sequence
NZ_CXYJ01000084.1 Escherichia coli isolate YS river water, whole genome shotgun sequence
NZ_CXYJ01000085.1 Escherichia coli isolate YS river water, whole genome shotgun sequence
NZ_CXYJ01000086.1 Escherichia coli isolate YS river water, whole genome shotgun sequence
NZ_CXYJ01000087.1 Escherichia coli isolate YS river water, whole genome shotgun sequence
NZ_CXYJ01000088.1 Escherichia coli isolate YS river water, whole genome shotgun sequence
NZ_CXYJ01000089.1 Escherichia coli isolate YS river water, whole genome shotgun sequence
NZ_CXYJ01000090.1 Escherichia coli isolate YS river water, whole genome shotgun sequence
NZ_CXYJ01000091.1 Escherichia coli isolate YS river water, whole genome shotgun sequence
NZ_CXYJ01000092.1 Escherichia coli isolate YS river water, whole genome shotgun sequence
NZ_CXYJ01000093.1 Escherichia coli isolate YS river water, whole genome shotgun sequence
NZ_CXYJ01000094.1 Escherichia coli isolate YS river water, whole genome shotgun sequence
NZ_CXYJ01000095.1 Escherichia coli isolate YS river water, whole genome shotgun sequence
NZ_CXYJ01000096.1 Escherichia coli isolate YS river water, whole genome shotgun sequence
NZ_CXYJ01000097.1 Escherichia coli isolate YS river water, whole genome shotgun sequence
NZ_CXYJ01000098.1 Escherichia coli isolate YS river water, whole genome shotgun sequence
NZ_CXYJ01000099.1 Escherichia coli isolate YS river water, whole genome shotgun sequence
NZ_CXYJ01000100.1 Escherichia coli isolate YS river water, whole genome shotgun sequence
NZ_CXYJ01000101.1 Escherichia coli isolate YS river water, whole genome shotgun sequence
NZ_CXYJ01000102.1 Escherichia coli isolate YS river water, whole genome shotgun sequence
NZ_CXYJ01000103.1 Escherichia coli isolate YS river water, whole genome shotgun sequence
NZ_CXYJ01000104.1 Escherichia coli isolate YS river water, whole genome shotgun sequence
NZ_CXYJ01000105.1 Escherichia coli isolate YS river water, whole genome shotgun sequence
NZ_CXYJ01000106.1 Escherichia coli isolate YS river water, whole genome shotgun sequence
NZ_CXYJ01000107.1 Escherichia coli isolate YS river water, whole genome shotgun sequence
NZ_CXYJ01000108.1 Escherichia coli isolate YS river water, whole genome shotgun sequence
NZ_CXYJ01000109.1 Escherichia coli isolate YS river water, whole genome shotgun sequence
NZ_CXYJ01000110.1 Escherichia coli isolate YS river water, whole genome shotgun sequence
NZ_CXYJ01000111.1 Escherichia coli isolate YS river water, whole genome shotgun sequence
NZ_CXYJ01000112.1 Escherichia coli isolate YS river water, whole genome shotgun sequence
NZ_CXYJ01000113.1 Escherichia coli isolate YS river water, whole genome shotgun sequence
NZ_CXYJ01000114.1 Escherichia coli isolate YS river water, whole genome shotgun sequence
NZ_CP013121.1 Fusobacterium nucleatum subsp. polymorphum strain ChDC F306, complete genome
NZ_CP013122.1 Fusobacterium nucleatum subsp. polymorphum strain ChDC F306 plasmid unnamed1, complete sequence
NZ_CP013123.1 Fusobacterium nucleatum subsp. polymorphum strain ChDC F306 plasmid unnamed2, complete sequence
NZ_FNDZ01000023.1 Proteiniclasticum ruminis strain CGMCC 1.5058, whole genome shotgun sequence
NZ_FNDZ01000025.1 Proteiniclasticum ruminis strain CGMCC 1.5058, whole genome shotgun sequence
NZ_FNDZ01000010.1 Proteiniclasticum ruminis strain CGMCC 1.5058, whole genome shotgun sequence
NZ_FNDZ01000024.1 Proteiniclasticum ruminis strain CGMCC 1.5058, whole genome shotgun sequence
NZ_FNDZ01000007.1 Proteiniclasticum ruminis strain CGMCC 1.5058, whole genome shotgun sequence
NZ_FNDZ01000009.1 Proteiniclasticum ruminis strain CGMCC 1.5058, whole genome shotgun sequence
NZ_FNDZ01000004.1 Proteiniclasticum ruminis strain CGMCC 1.5058, whole genome shotgun sequence
NZ_FNDZ01000008.1 Proteiniclasticum ruminis strain CGMCC 1.5058, whole genome shotgun sequence
NZ_FNDZ01000001.1 Proteiniclasticum ruminis strain CGMCC 1.5058, whole genome shotgun sequence
NZ_FNDZ01000021.1 Proteiniclasticum ruminis strain CGMCC 1.5058, whole genome shotgun sequence
NZ_FNDZ01000013.1 Proteiniclasticum ruminis strain CGMCC 1.5058, whole genome shotgun sequence
NZ_FNDZ01000014.1 Proteiniclasticum ruminis strain CGMCC 1.5058, whole genome shotgun sequence
NZ_FNDZ01000002.1 Proteiniclasticum ruminis strain CGMCC 1.5058, whole genome shotgun sequence
NZ_FNDZ01000011.1 Proteiniclasticum ruminis strain CGMCC 1.5058, whole genome shotgun sequence
NZ_FNDZ01000018.1 Proteiniclasticum ruminis strain CGMCC 1.5058, whole genome shotgun sequence
NZ_FNDZ01000012.1 Proteiniclasticum ruminis strain CGMCC 1.5058, whole genome shotgun sequence
NZ_FNDZ01000015.1 Proteiniclasticum ruminis strain CGMCC 1.5058, whole genome shotgun sequence
NZ_FNDZ01000016.1 Proteiniclasticum ruminis strain CGMCC 1.5058, whole genome shotgun sequence
NZ_FNDZ01000017.1 Proteiniclasticum ruminis strain CGMCC 1.5058, whole genome shotgun sequence
NZ_FNDZ01000019.1 Proteiniclasticum ruminis strain CGMCC 1.5058, whole genome shotgun sequence
NZ_FNDZ01000020.1 Proteiniclasticum ruminis strain CGMCC 1.5058, whole genome shotgun sequence
NZ_FNDZ01000005.1 Proteiniclasticum ruminis strain CGMCC 1.5058, whole genome shotgun sequence
NZ_FNDZ01000003.1 Proteiniclasticum ruminis strain CGMCC 1.5058, whole genome shotgun sequence
NZ_FNDZ01000006.1 Proteiniclasticum ruminis strain CGMCC 1.5058, whole genome shotgun sequence
NZ_FNDZ01000022.1 Proteiniclasticum ruminis strain CGMCC 1.5058, whole genome shotgun sequence
NZ_FOVK01000036.1 Proteiniclasticum ruminis strain ML2, whole genome shotgun sequence
NZ_FOVK01000034.1 Proteiniclasticum ruminis strain ML2, whole genome shotgun sequence
NZ_FOVK01000032.1 Proteiniclasticum ruminis strain ML2, whole genome shotgun sequence
NZ_FOVK01000026.1 Proteiniclasticum ruminis strain ML2, whole genome shotgun sequence
NZ_FOVK01000035.1 Proteiniclasticum ruminis strain ML2, whole genome shotgun sequence
NZ_FOVK01000010.1 Proteiniclasticum ruminis strain ML2, whole genome shotgun sequence
NZ_FOVK01000014.1 Proteiniclasticum ruminis strain ML2, whole genome shotgun sequence
NZ_FOVK01000024.1 Proteiniclasticum ruminis strain ML2, whole genome shotgun sequence
NZ_FOVK01000006.1 Proteiniclasticum ruminis strain ML2, whole genome shotgun sequence
NZ_FOVK01000005.1 Proteiniclasticum ruminis strain ML2, whole genome shotgun sequence
NZ_FOVK01000007.1 Proteiniclasticum ruminis strain ML2, whole genome shotgun sequence
NZ_FOVK01000027.1 Proteiniclasticum ruminis strain ML2, whole genome shotgun sequence
NZ_FOVK01000009.1 Proteiniclasticum ruminis strain ML2, whole genome shotgun sequence
NZ_FOVK01000003.1 Proteiniclasticum ruminis strain ML2, whole genome shotgun sequence
NZ_FOVK01000018.1 Proteiniclasticum ruminis strain ML2, whole genome shotgun sequence
NZ_FOVK01000002.1 Proteiniclasticum ruminis strain ML2, whole genome shotgun sequence
NZ_FOVK01000015.1 Proteiniclasticum ruminis strain ML2, whole genome shotgun sequence
NZ_FOVK01000028.1 Proteiniclasticum ruminis strain ML2, whole genome shotgun sequence
NZ_FOVK01000008.1 Proteiniclasticum ruminis strain ML2, whole genome shotgun sequence
NZ_FOVK01000004.1 Proteiniclasticum ruminis strain ML2, whole genome shotgun sequence
NZ_FOVK01000030.1 Proteiniclasticum ruminis strain ML2, whole genome shotgun sequence
NZ_FOVK01000016.1 Proteiniclasticum ruminis strain ML2, whole genome shotgun sequence
NZ_FOVK01000021.1 Proteiniclasticum ruminis strain ML2, whole genome shotgun sequence
NZ_FOVK01000011.1 Proteiniclasticum ruminis strain ML2, whole genome shotgun sequence
NZ_FOVK01000001.1 Proteiniclasticum ruminis strain ML2, whole genome shotgun sequence
NZ_FOVK01000012.1 Proteiniclasticum ruminis strain ML2, whole genome shotgun sequence
NZ_FOVK01000031.1 Proteiniclasticum ruminis strain ML2, whole genome shotgun sequence
NZ_FOVK01000017.1 Proteiniclasticum ruminis strain ML2, whole genome shotgun sequence
NZ_FOVK01000033.1 Proteiniclasticum ruminis strain ML2, whole genome shotgun sequence
NZ_FOVK01000023.1 Proteiniclasticum ruminis strain ML2, whole genome shotgun sequence
NZ_FOVK01000022.1 Proteiniclasticum ruminis strain ML2, whole genome shotgun sequence
NZ_FOVK01000029.1 Proteiniclasticum ruminis strain ML2, whole genome shotgun sequence
NZ_FOVK01000013.1 Proteiniclasticum ruminis strain ML2, whole genome shotgun sequence
NZ_FOVK01000019.1 Proteiniclasticum ruminis strain ML2, whole genome shotgun sequence
NZ_FOVK01000025.1 Proteiniclasticum ruminis strain ML2, whole genome shotgun sequence
NZ_FOVK01000020.1 Proteiniclasticum ruminis strain ML2, whole genome shotgun sequence
